contrast	estimate	se	df	z_ratio	p_value	roi	atlas
criticalAlice vs. criticalMD	2.04232778095053	0.0945266962557163	Inf	21.6058305415178	1.58315941982549e-103	20	DKT
criticalLang vs. criticalMD	1.7452386535341	0.0409907225701141	Inf	42.5764305703294	0	20	DKT
criticalAlice vs. criticalLang	0.274272471926766	0.0897916268655322	Inf	3.05454396474522	0.00225402974674008	21	DKT
criticalAlice vs. criticalMD	2.13147382136201	0.0911392414500775	Inf	23.3870041866603	5.79515348996144e-121	21	DKT
criticalLang vs. criticalMD	1.85720134943524	0.0394532636182385	Inf	47.0734529697232	0	21	DKT
criticalAlice vs. criticalLang	0.0589450914717153	0.0961392368732056	Inf	0.613122106944283	0.539795603770034	22	DKT
criticalAlice vs. criticalMD	-1.4141754637366	0.0960711246598627	Inf	-14.7200885671262	4.79032546700453e-49	22	DKT
criticalLang vs. criticalMD	-1.47312055520832	0.0411081717814167	Inf	-35.8352242722274	3.1244614221306e-281	22	DKT
criticalAlice vs. criticalLang	0.174244046336063	0.06126026322899	Inf	2.8443241532401	0.00445057445542401	23	DKT
criticalAlice vs. criticalMD	0.351220216739841	0.0618699970987545	Inf	5.67674532421969	1.37281622525826e-08	23	DKT
criticalLang vs. criticalMD	0.176976170403778	0.0266845037474708	Inf	6.63217019430433	3.30786847090017e-11	23	DKT
criticalAlice vs. criticalLang	0.122860633090485	0.0345998121777877	Inf	3.55090462512277	0.000383909510649528	24	DKT
criticalAlice vs. criticalMD	0.380106837460196	0.0350497326197141	Inf	10.8447856531265	2.11130177344092e-27	24	DKT
criticalLang vs. criticalMD	0.25724620436971	0.0151506298518153	Inf	16.9792415817543	1.16988054121178e-64	24	DKT
criticalAlice vs. criticalLang	-0.567986588253761	0.0835631262318584	Inf	-6.79709596644096	1.06748994973709e-11	25	DKT
criticalAlice vs. criticalMD	0.252258835440315	0.0836276124147817	Inf	3.01645387398058	0.00255750125472469	25	DKT
criticalLang vs. criticalMD	0.820245423694076	0.0358236271816835	Inf	22.8967719972662	5.00331711890242e-116	25	DKT
criticalAlice vs. criticalLang	0.349860378043317	0.0592437853480779	Inf	5.90543592020268	3.51715480335554e-09	26	DKT
criticalAlice vs. criticalMD	0.199687019691873	0.0601461579378605	Inf	3.32002951706705	0.000900079309394808	26	DKT
criticalLang vs. criticalMD	-0.150173358351443	0.026040874817887	Inf	-5.76683231272599	8.07753503260585e-09	26	DKT
criticalAlice vs. criticalLang	-0.00371215541971404	0.04957615823273	Inf	-0.074877835476636	0.940311911768141	27	DKT
criticalAlice vs. criticalMD	0.392630120501992	0.0503101832320228	Inf	7.80418784585303	5.98859372220996e-15	27	DKT
criticalLang vs. criticalMD	0.396342275921706	0.0217755858305242	Inf	18.2012221855418	5.04690989361526e-74	27	DKT
criticalAlice vs. criticalLang	-0.385307691866168	0.077269233918388	Inf	-4.98656026890511	6.146373913008e-07	28	DKT
criticalAlice vs. criticalMD	-0.687850207628102	0.0779592559413757	Inf	-8.82320129049661	1.11233140248753e-18	28	DKT
criticalLang vs. criticalMD	-0.302542515761934	0.0335985640057557	Inf	-9.00462637957103	2.16401387000687e-19	28	DKT
criticalAlice vs. criticalLang	-0.000981782470697849	0.0822919075005106	Inf	-0.0119304862472869	0.990481075036035	29	DKT
criticalAlice vs. criticalMD	1.22021595672541	0.0833766084063143	Inf	14.6349915167933	1.67996640938387e-48	29	DKT
criticalLang vs. criticalMD	1.2211977391961	0.036045103015274	Inf	33.8797128330754	1.32566000616697e-251	29	DKT
criticalAlice vs. criticalLang	-0.148726324335646	0.0844843087138175	Inf	-1.76040174323308	0.0783397139937188	30	DKT
criticalAlice vs. criticalMD	-1.79625091003705	0.084827977332428	Inf	-21.1752179708095	1.61632549757645e-99	30	DKT
criticalLang vs. criticalMD	-1.64752458570141	0.0364275756845374	Inf	-45.2274013502562	0	30	DKT
criticalAlice vs. criticalLang	1.23072300989199	0.0631809124876831	Inf	19.4793484524605	1.6435774797803e-84	31	DKT
criticalAlice vs. criticalMD	3.03999427297323	0.0637080691901024	Inf	47.7175703426517	0	31	DKT
criticalLang vs. criticalMD	1.80927126308124	0.0274448073337286	Inf	65.9239921446895	0	31	DKT
criticalAlice vs. criticalLang	0.224932986343891	0.069758198989174	Inf	3.22446665199598	0.00126207554862853	32	DKT
criticalAlice vs. criticalMD	0.521139655955779	0.0701936189118326	Inf	7.42431668340625	1.13363630382707e-13	32	DKT
criticalLang vs. criticalMD	0.296206669611888	0.0301918520112606	Inf	9.81081483512216	1.01148451529424e-22	32	DKT
criticalAlice vs. criticalLang	2.01209512414216	0.05032508309218	Inf	39.9819533423645	0	35	DKT
criticalAlice vs. criticalMD	2.1854864740647	0.0509219972748925	Inf	42.9183180358534	0	35	DKT
criticalLang vs. criticalMD	0.173391349922538	0.0219932874127127	Inf	7.88383049194879	3.17494911314528e-15	35	DKT
criticalAlice vs. criticalLang	0.0567334690982355	0.0389822445825901	Inf	1.45536691654675	0.145567710244615	36	DKT
criticalAlice vs. criticalMD	0.0259901742570379	0.0394347141706394	Inf	0.659068407205258	0.509851841897102	36	DKT
criticalLang vs. criticalMD	-0.0307432948411976	0.0170287560813262	Inf	-1.80537525432705	0.0710159807563053	36	DKT
criticalAlice vs. criticalLang	-0.102441251858363	0.0445538437374449	Inf	-2.29926855384346	0.0214896943222696	39	DKT
criticalAlice vs. criticalMD	-0.327962139679585	0.0451038672863757	Inf	-7.27126429308759	3.56138369836488e-13	39	DKT
